"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume(ml)"
"959","The French Pearl","Plymouth Gin:50.0","Absinthe:5.0","Lime juice:20.0","Rock Candy Syrup:20.0","Mint Sprig","","","","","","","",25.3,95
"960","The Hyp Fairy","Absinthe:20.0","Hpnotiq:12.5","Sour Mix:1.0(splash)","","","","","","","","","",42.9,38
"961","The Modernista","Scotch Whiskey:50.0","Dark Jamican Rum:12.5","Absinthe:1.0(teaspoon)","Swedish Punsch:12.5","Fresh Lemon juice:12.5","Orange Bitters.:2.0(dash)","","","","","","",33.4,94
"962","The Monkey Gland","Gin:37.5","Orange Juice:37.5","Absinthe:1.0(dash)","Grenadine Syrup:1.0(dash)","","","","","","","","",20.1,77
"963","The Nirvana","Vanilla Syrup:10.0","Coconut Syrup:15.0","Strawberry Puree:50.0","Single Cream:50.0","Raspberry","","","","","","","",0,125
"964","The Phlump","Jameson Irish Whisky:50.0","Ginger Ale:1.0(splash)","","","","","","","","","","",35.8,56
"965","The Raven","Vodka:25.0","Rum:25.0","Blue Curacao:25.0","Chambord:12.5","","","","","","","","",36.2,88
"966","The Rickey","Gin:50.0","1/2 Lime"," Sparkling Mineral Water:1.0(dash)","","","","","","","","","",38.5,51
"967","The Snow Honey","Brandy:25.0","Hot Milk:100.0","Clover Honey:1.0(teaspoon)","grated Nutmeg","","","","","","","","",11.5,130
"970","Three Wise Men","Bourbon Whiskey:10.0","Scotch Whiskey:10.0","Tennesse Whiskey:10.0","","","","","","","","","",38.7,30
"971","Ti Punch","Rhum Agricole:40.0","Cane Syrup:10.0","1/2 Lime quartered","","","","","","","","","",54.9,50
"972","Tiger Tail","Coffee Liqueur:10.0","Orange Liqueur:10.0","Peppermint Schnapps:10.0","","","","","","","","","",41.9,30
"973","Tijuana Manhattan","Tequila:50.0","Sweet Red Vermouth:20.0","Angostura Bitters:1.0(dash)","","","","","","","","","",33.4,71
"974","Tiki Bar Margarita","Tequila:50.0","Lime Juice:25.0","Almond Sugar Syrup:12.5","Pineapple Wedge","","","","","","","","",22.6,88
"975","Toasted Almond","Amaretto:37.5","Coffee Liqueur:37.5","Cream:25.0","","","","","","","","","",25.2,100
"976","Toblerone Martini","Baileys Irish Cream:25.0","Kahlua:12.5","Frangelica:12.5","Honey:1.0(dash)","Cream:25.0","Milk:25.0","Chocolate Powder","","","","","",9.1,101
"977","Tokyo Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Melon Liqueur:15.0","Lemon Juice:25.0","Gomme syrup:30.0","Lemon-Lime Soda:1.0(splash)","","","","",19.8,136
"978","Tom & Jerry","Brandy:1.0(dash)","Rum:12.5","1 whole Egg White","1 whole Egg Yolk","Sugar:1.0(teaspoon)","","","","","","","",28.7,18
"979","Tom Collins","Gin:37.5","Lemon Juice:25.0","Sugar Syrup:12.5","Soda Water:1.0(splash)","","","","","","","","",18.3,81
"980","Tomate","Pastis:25.0","Grenadine Syrup:10.0","","","","","","","","","","",31.2,35
"983","Tornado","Whiskey:25.0","Vodka:25.0","Rum:25.0","Tequila:25.0","Cola","Sugar:1.0(teaspoon)","","","","","","",37.8,105
"984","Toro Rojo","White Rum:25.0","Red Bull:1.0(can)","Turbinado Sugar:3.0(teaspoon)","8 Mint Leaves","1 Lime","","","","","","","",3.8,267
"985","Toronha","Tequila:50.0","Grapefruit Juice:50.0","Grenadine Syrup:1.0(tablespoon)","Triple Sec:12.5","","","","","","","","",19.5,127
"986","Torpes","Vodka:25.0","Black Raspberry Liqueur:12.5","Cranberry Juice:50.0","Lime Juice:20.0","","","","","","","","",11.1,108
"987","Trojan Horse","Stout Beer:250.0","Cola:250.0","","","","","","","","","","",3.5,500
"988","Tropical Colada","Coconut Milk:0.25(cup)","Lime Juice:1.0(tablespoon)","Diet Lemon-Lime Soda:1.0(can)","","","","","","","","","",0,251
"991","T`n`T","Tequila:50.0","Tonic Water:100.0","","","","","","","","","","",13.2,150
"992","U-Boot","Beer:565.0","Vodka:25.0","","","","","","","","","","",6,590
"993","Ultra Violet","Tanqueray Gin:25.0","Suave Pomegranate Liqueur:12.5","Lejay Parfait Amour:12.5","Elderflower Cordial:5.0","Lemon Juice:25.0","Gomme Syrup:1.0(dash)","6 muddled Rosemary Leaves","Lemon Twist","","","","",19.6,81
"994","Un-Goa","Tequila:12.5","White Rum:12.5","Lime Juice:1.0(dash)","","","","","","","","","",37.1,26
"995","Union Square","Gin:50.0","2 1/2 Strawberries","Basil sprigs","Lime Juice:12.5","Lemon Juice:12.5","Agave Nectar:25.0","","","","","","",19.8,100
"997","Valencian Water","Cava:700.0","Gin:50.0","Vodka:50.0","Orange Juice:200.0","pinch Sugar","","","","","","","",12.7,1000
"998","Valkyrie","Vodka:50.0","Lemon Juice:25.0","Vanilla Sugar Syrup:25.0","","","","","","","","","",19.8,100
"999","Velvet Hammer","Triple Sec:50.0","Coffee Liqueur:50.0","Half and Half:50.0","","","","","","","","","",28.1,150
"1003","Very Berry Sangria","Red Wine:1.0(bottle)","Blackberry Liqueur:50.0","Ginger Ale:300.0","Sugar:0.5(cup)","h of Raspberries:0.5(cup)","Blackberries","Blueberries and Strawberries","","","","","",13.3,1137
"1004","Vesper Martini","Gin:60.0","100 Proof Vodka:20.0","Kina Lillet:10.0","","","","","","","","","",28.2,90
"1005","Victorias Secret","Crème de Fraises:50.0","Citrus Vodka:25.0","Lemon Juice:25.0","","","","","","","","","",17.8,100
