"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume(ml)"
"53","Aspenlicious","Coconut Vodka:50.0","Amaretto:12.5","Coffee Liqueur:12.5","Rum:12.5","Irish Cream Cocktail:12.5","Half - And - Half:1.0(splash)","Chocolate Syrup:1.0(dash)","Grated White Chocolate.","","","","",30.7,107
"54","Atone-Mint","Blueberry Vodka:50.0","Lemon Juice:12.5","Sparkling Water:50.0","Simple Syrup:25.0","fresh Mint Leaves","Lemon Wedge","","","","","","",12.6,138
"55","Autumn Slumber Toddy","Gin:50.0","Crème de Cassis:12.5","Simple Syrup:1.0(dash)","Lemon  Juice:1.0(teaspoon)","Hot Water","","","","","","","",31.5,68
"56","Aviation","Gin:50.0","Maraschino Liqueur:12.5","Lemon Juice:12.5","Crème de Violette:5.0","","","","","","","","",30.9,80
"57","Axis Kiss","Amaretto:5.0","Crème de Cassis:5.0","Champagne:75.0","","","","","","","","","",13.1,85
"58","B & B","Cognac:25.0","Benedictine:25.0","","","","","","","","","","",39.2,50
"59","B-52","Coffee Liqueur:10.0","Irish Cream Liqueur:10.0","Triple Sec:10.0","","","","","","","","","",31.3,30
"60","B-52 Gunship","Coffee Liqueur:10.0","Irish Cream Liqueur:10.0","Absinthe:10.0","","","","","","","","","",42.3,30
"61","B-52 in the Desert","Coffee Liqueur:10.0","Tequila:10.0","Triple Sec:10.0","","","","","","","","","",38.7,30
"62","Baby Guinness","Coffee Liqueur:75.0","Irish Cream Liqueur:25.0","","","","","","","","","","",33.9,100
"63","Bacardi","Bacardi White Rum:45.0","Lime Juice:20.0","Grenadine Syrup:5.0","","","","","","","","","",25.4,70
"64","Backdraft","Drambuie:37.5","Grand Marnier:37.5","Cinnamon","","","","","","","","","",39.5,75
"65","Bahama Mama","Coffee Liqueur:5.0","Dark Rum:12.5","Coconut Liqueur:12.5","151 proof Rum:5.0","Juice of 1/2 Lemon","Pineapple juice:100.0","Strawberry","","","","","",7.1,135
"66","Baja Gold","Tequila:50.0","Triple Sec:12.5","Pineapple Juice:50.0","Lime Juice:12.5","Simple Syrup:12.5","Lime Wedge","","","","","","",18.1,138
"67","Bajan Passion","Gold Rum:37.5","Apricot Brandy:12.5","Lime Juice:25.0","Vanilla Sugar Syrup:12.5","Sugar Syrup:12.5","1 Passion Fruit","","","","","","",19.2,100
"68","Ballet Ruse","Vodka:50.0","Black Raspberry Liqueur:20.0","Lime Juice:25.0","Sugar Syrup:12.5","","","","","","","","",21.5,108
"69","Balm Smash","Rum:50.0","Fig Puree:25.0","Apple Juice:25.0","8 Lemon Balm leaves","","","","","","","","",19.8,100
"70","Baltic Breeze","Raspberry Vodka:37.5","Apricot Brandy:12.5","Apple Juice:50.0","Cranberry Juice:50.0","Lime Juice:12.5","","","","","","","",10.7,162
"71","Bamboo","Dry Vermouth:37.5","Sherry:37.5","Orange Bitters:2.0(dash)","Angostura Bitters:2.0(dash)","Olive","","","","","","","",28.5,79
"72","Banana Boomer","Vodka:30.0","Banana Liqueur:30.0","","","","","","","","","","",32,60
"73","Banana Daiquiri","Light Rum:37.5","Triple Sec:1.0(tablespoon)","1 Banana","Lime Juice:37.5","Sugar:1.0(teaspoon)","1 Marasschino Cherry","","","","","","",21.9,95
"74","Banana Daiquiri Jelly Shot","Rum:75.0","Crème de Banane:75.0","Lime Juice:25.0","Water:25.0","Unflavoured Gelatin:5.0","","","","","","","",23.7,205
"75","Banana Hammock","Spice Rum:37.5","Banana Syrup:20.0","Lime Juice:20.0","Angostura Bitters:1.0(dash)","Caramelized Banana Dust","","","","","","","",18.5,78
"76","Banana Split Martini","Vodka:37.5","Crème de Banana:20.0","Crème de Cacao:20.0","Banana slice","","","","","","","","",29.6,78
"77","Bananarita","Tequila:25.0","Banana Liqueur:37.5","Margarita Mix:75.0","","","","","","","","","",19.4,138
"78","Banshee","White Crème de Cacao:25.0","Crème de Banane:25.0","Cream:25.0","","","","","","","","","",16.4,75
"79","Barnum Cocktail","Gin:50.0","Apricot Brandy:25.0","Lemon Juice:12.5","Old Fashioned Bitters:2.0(dash)","","","","","","","","",31.8,89
"80","Basil-ica","Plymouth Gin:50.0","Elderflower Liqueur:12.5","Lemon Juice:12.5","Simple Syrup:12.5","4 large Basil leaves","Orange Bitters:1.0(dash)","Peychards Bitters:1.0(dash)","Orange twist","","","","",25.7,89
"81","Batida","Cachaca:50.0","Fruit Juice:25.0","Sugar:1.0(teaspoon)","","","","","","","","","",29.7,80
"82","Bay Breeze","Vodka:50.0","Pineapple Juice:25.0","Cranberry Juice:25.0","Lemon Juice:25.0","Sugar Syrup:12.5","Orange Wedge","","","","","","",14.4,138
"83","Bayou Slime","Dark Rum:50.0","6 fresh Mint leaves","Spiced Cordial Syrup:12.5","1 Egg White","","","","","","","","",31.5,62
"84","Bazooka Joe","Irish Cream Liqueur:10.0","Banana Liqueur:10.0","Blue Curacao:10.0","","","","","","","","","",26.5,30
"85","Beachcomber","Light Rum:37.5","Triple Sec:12.5","Maraschino Liqueur:1.0(dash)","Lime Juice:12.5","","","","","","","","",31.5,63
"86","Beam Me Up Scotty","Coffee Liqueur:10.0","Crème de Banane:10.0","Irish Cream Liqueur:10.0","","","","","","","","","",26.5,30
"87","Bearded Lady","Whiskey:50.0","Lemon Juice:1.0(teaspoon)","Egg White:1.0(teaspoon)","Grenadine Syrup:25.0","","","","","","","","",23.9,85
"88","Beautiful","Cognac:25.0","Grand Marnier:25.0","","","","","","","","","","",39.2,50
"89","Beautiful Boat","Rose Champagne:40.0","Vodka:50.0","2 Mint Leaves","","","","","","","","","",27.3,90
"90","Bed of Roses","Jagermeister:37.5","Lemon Juice:50.0","Grenadine Syrup:25.0","Lime Juice:12.5","Lime Slice","","","","","","","",10.4,125
"91","Bee Tea","Barenjager:25.0","Fresh Brewed Tea:50.0","Lemon Wedge","","","","","","","","","",11.5,75
"92","Belizean Pina Colada","White Rum:30.0","Evaported Milk:30.0","Pineapple Juice:90.0","1 Pineapple Slice","","","","","","","","",7.9,150
"93","Belladonna","Dark Rum:25.0","Light Rum:25.0","Cranberry Juice:25.0","Pineapple Juice:25.0","Orange Juice:25.0","","","","","","","",15.9,125
"94","Bellini","Prosecco:100.0","Peach puree:50.0","Peach Bitters:4.0(dash)","","","","","","","","","",7.8,154
"95","Belmont Breeze","Bourbon Whiskey:37.5","Dry Sherry:12.5","Lemon Juice:12.5","Simple Syrup:12.5","Orange Juice:37.5","Cranberry Juice:1.0(splash)","5 Mint leaves","1 Mint Sprig","","","","",14.4,118
"96","Berry Bliss","Melon Liqueur:37.5","Vanilla Vodka:25.0","Raspberry Vodka:12.5","Pineapple Juice:1.0(splash)","Soda Water:1.0(splash)","Strawberry Slices","","","","","","",23.9,87
"97","Berry Caipirinha","Cachaca:50.0","Sugar Syrup:20.0","2 quarters of lime","4 blackberries","4 raspberries","","","","","","","",33.8,70
"98","Berry Nice","Raspberry Vodka:50.0","Black Raspberry Liqueur:5.0","Lemon Juice:12.5","8 Blackberries","Top-Up Ginger Beer","","","","","","","",26.8,68
"99","Besame","Agavero:37.5","Passionfruit Juice","Chambord:1.0(dash)","2 Lime wedges","6 Raspberries","","","","","","","",30.8,38
"100","Best Party Sangria","Red Wine:1.0(bottle)","Gin:50.0","Ginger Ale:4.0(cup)","Orange Juice:1.0(splash)","Sliced Pineapples:1.0(can)","Raspberries:1.0(cup)","Sugar:1.0(tablespoon)","Orange","Lime all cut into wedges.","","","",11.5,1231
"101","Between the Sheets","Brandy:20.0","Light Rum:20.0","Triple Sec:20.0","Lemon Juice:12.5","Lemon Twist","","","","","","","",38.1,72
"102","Beverley Hills Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Triple Sec:15.0","Lemon Juice:25.0","Gomme Syrup:30.0","Champagne:1.0(splash)","","","","",22.4,136
"103","Big Bamboo","151 Proof Rum:50.0","Dark Rum:25.0","Triple Sec:5.0","Orange Juice:50.0","Pineapple Juice:50.0","Simple Syrup:12.5","Bitters:1.0(dash)","","","","","",25.8,193
"105","Bijou","Gin:45.0","Green Chartreuse:15.0","Sweet Vermouth:15.0","Orange Bitters:1.0(dash)","","","","","","","","",37.7,76
"106","Biltmore","Gin:50.0","Sweet Vermouth:25.0","Maraschino Liqueur:1.0(dash)","1 piece of Pineapple","Hazelnut soaked in Maraschino Liqueur","","","","","","","",32.2,76
"108","Bitter Elder","Gin:50.0","Apple Juice:75.0","Lemon Juice:20.0","Elderflower Cordial:12.5","Old Fashioned Bitters:3.0(dash)","","","","","","","",12.4,160
"109","Bitter Sweet Symphony","Vodka:12.5","Triple Sec:25.0","Apricot Brandy:12.5","Grapefruit Juice:37.5","Lime Juice:12.5","","","","","","","",19.2,100
"110","Black Adder","Jagermeister:10.0","Irish Cream Liqueur:10.0","Coffee Liqueur:10.0","","","","","","","","","",29.7,30
"111","Black and Gold","Blavod Black Vodka:50.0","Goldschlager:25.0","","","","","","","","","","",40.6,75
"112","Black and Red","Black Bush Irish Whiskey:25.0","Sweet Vermouth:12.5","Bitters:2.0(dash)","Maraschino Cherry","","","","","","","","",32.5,39
"113","Black Bison","Vodka:50.0","Cola:150.0","Mint Leaves","","","","","","","","","",10,200
"115","Black Cherry Breezer","Black Cherry Vodka:50.0","Grenadine Syrup:5.0","Lemon Juice:1.0(dash)","Maraschino Cherry","","","","","","","","",32.9,56
"116","Black Cossack","Stout:250.0","Vodka:25.0","Dark Rum:25.0","","","","","","","","","",12.9,300
"117","Black Haze","Whiskey:15.0","Frangelico:15.0","","","","","","","","","","",29,30
"118","Black Jack","Jack Daniels:15.0","Black Sambuca:15.0","","","","","","","","","","",37.3,30
"119","Black Magic","Vodka:50.0","Coffee Liqueur:20.0","Lemon Juice:1.0(dash)","","","","","","","","","",38.9,71
"120","Black Martini","Gin:90.0","Blackberry Brandy:12.5","Lemon Twist","","","","","","","","","",39,102
"121","Black Mushroom","Irish Cream Liqueur:25.0","Black Haus:25.0","","","","","","","","","","",27.9,50
"122","Black n Tan","Stout Beer:200.0","Pale Ale Beer:200.0","","","","","","","","","","",7,400
"123","Black Nail","Irish Whiskey:20.0","Irish Mist Liqueur:20.0","Orange Peel","","","","","","","","","",36.6,40
"124","Black Rose","Tequila Rose:20.0","Blavod Black Vodka:20.0","","","","","","","","","","",26.8,40
"125","Black Russian","Vodka:45.0","Coffee Liqueur:25.0","","","","","","","","","","",39.4,70
"126","Black Samurai","Sake:15.0","Soy Sauce:15.0","","","","","","","","","","",7.7,30
"129","Black Widow","Blavod Black Vodka:50.0","Cranberry Juice:75.0","","","","","","","","","","",15.9,125
"130","Black `n` Blue","Gin:50.0","Crème de Mure:5.0","Apple Juice:65.0","19 Blueberries","","","","","","","","",17.2,120
"131","Blackberry & Apple Crumble Bramble","Gin:37.5","Crème de Cassis:5.0","Cloudy Apple Juice:75.0","Lemon Juice:12.5","Vanilla Syrup:2.0(dash)","12 Blackberries","","","","","","",11.9,132
"133","Blind Pilot","Bourbon Whiskey:25.0","Sweet Vermouth:25.0","Galliano:25.0","","","","","","","","","",33,75
"134","Blind Russian","Vodka:50.0","Coffee Liqueur:20.0","Irish Cream Liqueur:30.0","","","","","","","","","",32.8,100
"135","Blood and Sand","Scotch Whiskey:20.0","Cherry Brandy:20.0","Sweet Vermouth:20.0","Orange Juice:20.0","Orange slice","","","","","","","",24.2,80
"136","Blood Martini","Citrus Vodka:37.5","Ginger Liqueur:25.0","Dark Grape Juice:25.0","Blackberry Syrup:12.5","Blackberries","Raspberries","","","","","","",21.8,100
"138","Bloodhound","Gin:50.0","Dry Vermouth:25.0","Sweet Vermouth:25.0","Strawberry Coulis","Strawberry","","","","","","","",34.2,100
"139","Bloodless Mary","Vodka:45.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","","",27.4,65
"140","Bloody Aztec","Tequila:37.5","Crème de Cacao:37.5","Red Food Colouring:20.0","","","","","","","","","",25,95
"141","Bloody Bishop","Vodka:25.0","Sherry:25.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco  Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","",9,160
"142","Bloody Cab","Vodka:25.0","Carbernet Sauvignon:25.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","",8.3,160
"143","Bloody Dane","Akvavit:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"144","Bloody Eight","Vodka:45.0","V8:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"145","Bloody Fairy","Absinthe:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",21.4,155
"146","Bloody Hogger","Bacon Vodka:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",10.1,155
"147","Bloody LeRoy","Vodka:45.0","Barbecue Sauce:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"148","Bloody Margaret","Gin:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"149","Bloody Maria","Tequila:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"150","Bloody Mariyaki","Vodka:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Teriyaki Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"151","Bloody Mary","Peppered Vodka:37.5","Sweet Vermouth:15.0","Tomato Juice:35.0","Red Wine:1.0(splash)","es Worcestershire sauce:1.0(splash)","Tobasco sauce:10.0(dash)","Lemon Juice:25.0","Salt:10.0(dash)","Pepper:10.0(dash)","3 Cucumber slices","","",12.2,152
"152","Bloody Molly","Irish Whiskey:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"153","Bloody Ninja","Sake:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",4.6,155
"154","Bloody Pari","Arak:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",8.7,155
"155","Bloody Pirate","Dark Rum:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"156","Bloody Scotsman","Scotch Whiskey:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"157","Blowjob","Irish Cream Liqueur:7.5","Amaretto:12.5","Whipped Cream","","","","","","","","","",22.7,20
"158","Blue Bayou","Vodka:37.5","Blue Curacao:12.5","fresh Pineapple:0.5(cup)","Grapefruit Juice:50.0","Pineapple Slice","","","","","","","",16.8,118
"159","Blue Blazer","Whiskey:50.0","Hot Water:50.0","Demerara Sugar:2.0(teaspoon)","Lemon Zest","","","","","","","","",18,110
"160","Blue Carnation","White Crème de Cacao:12.5","Blue Curacao:12.5","Cream:50.0","","","","","","","","","",10.7,75
"161","Blue Cosmopolitan","Citron Vodka:40.0","Blue Curacao:15.0","Lime Juice:15.0","White Cranberry Juice:30.0","Lime Wedge","","","","","","","",21.8,100
"162","Blue Eyed Blonde","Irish Cream Liqueur:10.0","White Crème de Cacao:10.0","Blue Curacao:10.0","","","","","","","","","",26.5,30
"164","Blue Hawaiian","Light Rum:20.0","Vodka:20.0","Blue Curacao:12.5","Unsweetened Pineapple Juice:75.0","Sweet and Sour Mix:25.0","","","","","","","",13.7,152
"165","Blue Lagoon","Vodka:25.0","Blue Curacao:25.0","Lemonade:75.0","Lemon Slice","","","","","","","","",15.9,125
"166","Blue Lagoon Margarita","Tequila:37.5","Blue Curacao:20.0","Pineapple Juice:12.5","Lemon-Lime Soda:1.0(splash)","Lime Juice:1.0(splash)","","","","","","","",27.8,82
"167","Blue Margarita","Tequila:37.5","Blue Curacao:25.0","Lime Juice:25.0","Salt","","","","","","","","",28.2,88
"168","Blueberry Collins","Gin:50.0","Lemon Juice:25.0","Vanilla Sugar Syrup:12.5","19 Blueberries","Top-Up Soda water","","","","","","","",22.6,88
"170","Blushing Bride","Peach Schnapps:25.0","Champagne:100.0","Grenadine Syrup:25.0","","","","","","","","","",12.1,150
"172","Boiler Maker","Pale Ale:250.0","Bourbon Whiskey:25.0","","","","","","","","","","",8.2,275
"173","Bolo Cocktail","Rum:50.0","Lime Juice:12.5","Orange Juice:25.0","Sugar Syrup:10.0","Angostura Bitters:2.0(dash)","","","","","","","",20.8,99
"174","Boston Sour","Bourbon Whiskey:50.0","Lemon Juice:25.0","Sugar Syrup:12.5","Egg-White:12.5","Lemon Zest","","","","","","","",19.8,100
"175","Bourbon Lancer","Bourbon:45.0","Champagne:80.0","Angostura Bitters:3.0(dash)","Lemon Peel","","","","","","","","",22.5,128
"176","Bramble","Gin:50.0","Crème de Mure:10.0","Lemon Juice:25.0","Sugar Syrup:12.5","Blackberry","","","","","","","",21.9,98
"177","Bramble Royale","Gin:25.0","Crème de Mure:5.0","Lemon Juice:12.5","Vanilla Sugar Syrup:5.0","Top-Up Champagne","","","","","","","",22.3,48
"178","Brandy Alexander","Brandy:37.5","Crème de Cacao:20.0","Milk:50.0","Grated Nutmeg","","","","","","","","",25.2,108
"180","Brandy Cocktail","Brandy:50.0","Orange Curacao:12.5","Angostura Bitters:2.0(dash)","Peychards Bitters:2.0(dash)","Lemon Peel","","","","","","","",49.6,66
"181","Brandy Collins","Brandy:50.0","Squeezed Lemon Juice:25.0","Sugar Syrup:15.0","Soda Water:15.0","Maraschino Cherry","Lemon Slice","","","","","","",28.3,105
"182","Brandy Daisy","Brandy:37.5","Yellow Chartreuse:20.0","Lemon Juice:20.0","Soda Water:1.0(splash)","","","","","","","","",36.1,83
"183","Brandy EggNog","Brandy:25.0","Milk:30.0","Sugar Syrup:12.5","1 Egg Yolk","","","","","","","","",21.9,68
"184","Brandy Manhattan","Brandy:50.0","Sweet Red Vermouth:20.0","Angostura Bitters:1.0(dash)","Maraschino Cherry","","","","","","","","",47.3,71
"185","Brandy Smash","Brandy:65.0","Soda Water:25.0","4 sprigs Fresh Mint","Sugar:1.0(teaspoon)","Maraschino Cherry","","","","","","","",40.7,95
"186","Brandy Sour (Cyprus)","Cypriot Brandy:50.0","Cypriot Lemon Squash:25.0","3 drops  Angostura Bitters","Lemonade:1.0(dash)","","","","","","","","",20.8,76
"187","Brass Monkey","Dark Rum:25.0","Vodka:25.0","Orange Juice:25.0","","","","","","","","","",26.3,75
"188","Brave Bull","Blanco Tequila:50.0","Coffee Liqueur:25.0","","","","","","","","","","",46.7,75
"189","Brazilian Sangria","Absinthe:12.5","Cachaca:30.0","Spainish Brandy:12.5","Orange Liqueur:12.5","Red Wine:25.0","Strawberry","Lime","Orange ","Kiwi ","Passionfruit","","",39.5,92
"190","Breakfast Martini","Gin:45.0","Triple Sec:20.0","Lemon Juice:20.0","Sugar Syrup:12.5","1 heaped spoon of Orange Marmalade","flamed lemon zest","","","","","","",26.4,98
"191","Breath of Fresh Air","Vodka:25.0","Peppermint Liqueur:50.0","Mint Leaf","","","","","","","","","",24.3,75
"192","Broad Stripes and Bright Stars","Absinthe:5.0","Blueberry Vodka:25.0","Simple Syrup:5.0","Lemon Juice:1.0(splash)","Raspberry Liqueur:1.0(drizzle)","Ginger Beer","Blueberries","","","","","",29.4,42
"193","Broken Heart Martini","Vodka:65.0","Crème de Cacao:12.5","Cocoa Powder:1.0(tablespoon)","Sugar:1.0(teaspoon)","Orange Slice","","","","","","","",29.5,97
"194","Bronx","Gin:50.0","Sweet Red Vermouth:12.5","Dry Vermouth:12.5","Fresh Orange Juice:25.0","Orange Zest Twist","Maraschino Cherry","","","","","","",27,100
"195","Brotherly Love","Gin:37.5","Licor 43:20.0","Simple Syrup:20.0","Steamed Milk:100.0","Nutmeg","","","","","","","",11.9,178
"196","Brown Derby","Bourbon Whiskey:50.0","Grapefruit Juice:25.0","Runny Honey:5.0","Grapefruit Zest","","","","","","","","",24.7,80
"197","Brown Mary","Whiskey:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco  Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"198","Brown Russian","Vodka:50.0","Coffee Liqueur:20.0","Ginger Ale:1.0(splash)","","","","","","","","","",36.9,76
"199","Brown University","Bourbon Whiskey:37.5","Dry Vermouth:37.5","Orange Bitters:2.0(dash)","","","","","","","","","",38.8,77
"200","Bucks Fizz","Orange Juice:50.0","Champagne:100.0","","","","","","","","","","",8.1,150
"201","Buena Vida","Tequila:50.0","Pink Grapefruit Juice:40.0","Pineapple Juice:20.0","Vanilla Sugar Syrup:12.5","Old Fashioned Bitters:3.0(dash)","Pineapple Slice","Mint Sprig","","","","","",15.8,125
"202","Bumbo","Rum:50.0","Water:25.0","2 Sugar Cubes","sprinkle of Cinnamon","sprinkle of Nutmeg","","","","","","","",26.3,75
"203","Burning Bush","Bushmills Irish Whiskey:37.5","Honey:25.0","Hot Water:75.0","Lemon Wedge","","","","","","","","",12.5,138
"206","Bushwacker","Dark Rum:25.0","Coffee Liqueur:25.0","Dark Crème de Cacao:25.0","Coconut Cream:50.0","Milk:50.0","","","","","","","",14.9,175
"207","Buttery Nipple","Irish Cream Liqueur:75.0","Butterscotch Schnapps:50.0","","","","","","","","","","",18.5,125
"208","Cable Car","Spiced Rum:37.5","Orange Curacao:20.0","Sour Mix:37.5","Orange Peel Spiral","Superfine Sugar","","","","","","","",17.8,95
"209","Cadillac Margarita","Premium Tequila:37.5","Grand Marnier:25.0","Lime Juice:20.0","Salt","","","","","","","","",36.7,82
"210","Café Amore","Cognac:25.0","Amaretto:25.0","Black Coffee","Whipped Cream","Shaved Almonds","","","","","","","",33.3,50
"211","Caipiblack","Black Vodka:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",32.9,60
"212","Caipinheiger","Steinhager:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",31.2,60
"213","Caipirao","Licor Beirao:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",18.1,60
"214","Caipirinha","Cachaca:50.0","1/2 Lime","Brown Sugar:1.0(teaspoon)","Lime Wedge","","","","","","","","",42.9,55
"215","CaipirItaly","Campari:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",16.8,60
"216","Caipisake","Sake:50.0","1/2 Lime cut into 4 segments","Sugar:2.0(teaspoon)","","","","","","","","","",13.1,60
"217","Caipivodka","Vodka:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",32.9,60
"218","Caju  Amigo","Cachaca:15.0","Cashew Juice:15.0","","","","","","","","","","",23.2,30
"219","California Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Triple Sec:15.0","Lemon Juice:25.0","Gomme syrup:30.0","Orange Juice:1.0(splash)","","","","",21.9,136
"220","Calimocho","Red Wine:50.0","Cola:50.0","","","","","","","","","","",7.4,100
"221","Campari Cocktail","Campari:25.0","Vodka:20.0","Angostura Bitters:1.0(dash)","Lemon Twist","","","","","","","","",28.8,46
"222","Campari Cosmo","Citrus Vodka:50.0","Campari:25.0","Orange Juice:25.0","Triple Sec:1.0(splash)","Orange Peel","","","","","","","",25.7,106
"223","Candy Corn","Galliano:10.0","Orange Curacao:10.0","Cream:10.0","","","","","","","","","",20.1,30
"224","Cantarito","Tequila:37.5","Lime Juice:12.5","Orange Juice:12.5","Lemon Juice:12.5","Grapefruit Soda:10.0","Lemon","Lime & Orange wedges","Salt","","","","",17.4,85
"225","Cape Cod","Vodka:25.0","Cranberry Juice:50.0","Lime Wedge","","","","","","","","","",13.2,75
"227","Caribbean Sunrise","Rum:45.0","Orange Juice:60.0","Grenadine Syrup:15.0","Orange Slice","","","","","","","","",14.9,120
"228","Caribou Lou","151 Proof Rum:37.5","Coconut Rum:25.0","Pineapple Juice:125.0","","","","","","","","","",17.8,188
"229","Caruso","Gin:25.0","Dry Vermouth:25.0","Green Crème de Menthe:1.0(dash)","","","","","","","","","",39,51
"230","Catalina Margarita","Tequila:37.5","Peach Schnapps:25.0","Blue Curacao:25.0","Sour Mix:12.5","","","","","","","","",30.7,100
"231","Chalino Special","Tequila:65.0","Black Raspberry Liqueur:5.0","Lime Juice:12.5","Lemon Juice:12.5","Sugar Syrup:5.0","","","","","","","",26.6,100
"232","Champagne Cocktail","Champagne:100.0","Brandy:25.0","Sugar:1.0(bar spoon)","Angostura Bitters:4.0(dash)","","","","","","","","",21.8,131
"235","Champanska","Premium Vodka:25.0","Champagne:0.5(cup)","Lime Cordial:25.0","Lime Twist","","","","","","","","",17.7,68
"236","Chapel Hill","Bourbon Whiskey:37.5","Triple Sec:37.5","Lemon Juice:1.0(splash)","","","","","","","","","",36.6,81
"237","Charlie Chaplin","Apricot Brandy:25.0","Sloe Gin:25.0","Lime Juice:25.0","Lime Peel","","","","","","","","",21.4,75
"238","Charmides","Absinthe:25.0","Seedless Green Grapes","Angostura Bitters:1.0(dash)","Gin:37.5","Ginger Syrup:20.0","Juice of 1/2 Lime","Soda Water","Candied Ginger","","","","",40.2,83
"240","Chartreuse Martini","Gin:12.5","Green Chartreuse:12.5","Dry Vermouth:12.5","","","","","","","","","",43.8,38
"241","Chartreuse Soleil","Yellow Chartreuse:25.0","Whiskey:25.0","","","","","","","","","","",39.2,50
"244","Cherrute","Vodka:50.0","Cherry Brandy:20.0","Grapefruit Juice:37.5","Sugar Syrup:5.0","","","","","","","","",24.7,112
"245","Cherry Blossom Tini","Sake:55.0","Triple Sec:20.0","Cranberry Juice:20.0","Lime Juice:5.0","Orange Bitters:2.0(dash)","","","","","","","",16.5,102
